Sample,Community,Worm,Type
KT1,CeMBio,N2,Worm
KT10,CeMBio,lys-7,Worm
KT11,CeMBio,lys-7,Worm
KT13,CeMBio,clec-52,Worm
KT14,CeMBio,clec-52,Worm
KT15,CeMBio,clec-52,Worm
KT17,CeMBio,nuc-1,Worm
KT18,CeMBio,nuc-1,Worm
KT19,CeMBio,nuc-1,Worm
KT2,CeMBio,N2,Worm
KT21,CeMBio,clec-66,Worm
KT22,CeMBio,clec-66,Worm
KT23,CeMBio,clec-66,Worm
KT3,CeMBio,N2,Worm
KT4,CeMBio,N2,Lawn
KT49,CeMBio,innoculum,innoculum
KT5,CeMBio,scl-2,Worm
KT6,CeMBio,scl-2,Worm
KT64,CeMBio,control,control
KT7,CeMBio,scl-2,Worm
KT8,CeMBio,scl-2,Lawn
KT9,CeMBio,lys-7,Worm
